"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","E1","29-Oct-2018","         99.90","        103.00","        109.85","        101.05","        109.85","        109.85","        106.76","     768750","            82073736.15","       4990","     469650","         61.09"
"TATASTEEL","EQ","29-Oct-2018","        551.55","        556.50","        575.50","        552.30","        572.85","        573.70","        563.38","    5738313","          3232879289.60","      85437","    1637981","         28.54"
"TATASTEEL","E1","30-Oct-2018","        109.85","        113.00","        117.00","        110.20","        110.80","        110.85","        113.01","     557538","            63004863.35","       3510","     164883","         29.57"
"TATASTEEL","EQ","30-Oct-2018","        573.70","        571.25","        572.00","        563.10","        564.15","        564.50","        567.34","    4015319","          2278048526.00","      55234","     996342","         24.81"
"TATASTEEL","E1","31-Oct-2018","        110.85","        108.90","        108.90","         99.80","         99.80","        100.70","        101.00","    1011353","           102143634.30","       4185","     408204","         40.36"
"TATASTEEL","EQ","31-Oct-2018","        564.50","        554.95","        557.80","        529.35","        553.00","        553.85","        544.59","   14070333","          7662509430.60","     168203","    3257666","         23.15"
"TATASTEEL","E1","01-Nov-2018","        100.70","        102.90","        108.60","        102.10","        105.00","        104.75","        105.38","     642808","            67737972.90","       4336","     182037","         28.32"
"TATASTEEL","EQ","01-Nov-2018","        553.85","        555.80","        563.90","        554.00","        556.20","        556.60","        558.40","    5469057","          3053935038.85","      93560","    1275483","         23.32"
"TATASTEEL","E1","02-Nov-2018","        104.75","        106.85","        115.20","        106.85","        115.20","        115.20","        113.71","     597576","            67948380.30","       2742","     379777","         63.55"
"TATASTEEL","EQ","02-Nov-2018","        556.60","        561.00","        582.40","        560.65","        574.90","        574.05","        574.39","    7979457","          4583304685.85","     129208","    2123390","         26.61"
"TATASTEEL","E1","05-Nov-2018","        115.20","        110.00","        126.70","        105.00","        123.85","        122.90","        123.12","     844128","           103931777.80","       5292","     235919","         27.95"
"TATASTEEL","EQ","05-Nov-2018","        574.05","        574.00","        583.60","        567.50","        576.90","        577.45","        577.23","    4535856","          2618235298.15","      79045","     840355","         18.53"
"TATASTEEL","E1","06-Nov-2018","        122.90","        124.95","        128.90","        118.10","        123.05","        122.55","        123.66","     502447","            62134085.50","       4169","     133462","         26.56"
"TATASTEEL","EQ","06-Nov-2018","        577.45","        579.60","        584.40","        570.00","        576.50","        575.75","        577.08","    3910274","          2256529051.05","      64227","     762159","         19.49"
"TATASTEEL","E1","07-Nov-2018","        122.55","        125.00","        127.00","        124.00","        125.90","        125.55","        125.36","     107981","            13535975.65","        820","      53881","         49.90"
"TATASTEEL","EQ","07-Nov-2018","        575.75","        581.00","        582.25","        579.00","        580.00","        580.25","        580.21","     413871","           240131504.65","       7892","      93648","         22.63"
"TATASTEEL","E1","09-Nov-2018","        125.55","        124.50","        124.50","        115.60","        119.40","        119.05","        118.92","     498096","            59232748.55","       3971","     100420","         20.16"
"TATASTEEL","EQ","09-Nov-2018","        580.25","        579.35","        579.35","        568.45","        572.00","        572.20","        572.83","    4348716","          2491071685.90","      82706","    1223625","         28.14"
"TATASTEEL","E1","12-Nov-2018","        119.05","        121.00","        130.95","        119.10","        129.40","        128.55","        126.94","    1304991","           165653118.00","       6790","     293457","         22.49"
"TATASTEEL","EQ","12-Nov-2018","        572.20","        573.55","        589.70","        572.15","        583.25","        582.85","        581.62","    8120996","          4723303908.15","     110663","    1686579","         20.77"
"TATASTEEL","E1","13-Nov-2018","        128.55","        127.95","        136.95","        125.25","        136.00","        134.90","        132.59","     851550","           112910013.80","       6418","     252971","         29.71"
"TATASTEEL","EQ","13-Nov-2018","        582.85","        583.00","        591.50","        579.10","        591.30","        589.20","        586.61","    7626487","          4473748725.35","      99299","    1573057","         20.63"
"TATASTEEL","E1","14-Nov-2018","        134.90","        139.70","        148.35","        130.60","        131.30","        133.55","        144.28","    2062491","           297577796.45","       9133","     512946","         24.87"
"TATASTEEL","EQ","14-Nov-2018","        589.20","        605.00","        610.60","        584.30","        584.50","        589.10","        600.62","   21649289","         13002993782.90","     259305","    5101298","         23.56"
"TATASTEEL","E1","15-Nov-2018","        133.55","        134.50","        140.60","        127.50","        132.00","        132.80","        134.78","     863660","           116402533.80","       6628","     126032","         14.59"
"TATASTEEL","EQ","15-Nov-2018","        589.10","        590.30","        596.90","        581.45","        587.20","        589.35","        589.50","    6389521","          3766615660.60","      85281","     899736","         14.08"
"TATASTEEL","E1","16-Nov-2018","        132.80","        133.40","        134.30","        119.55","        120.00","        119.95","        124.08","    1292503","           160374429.15","       7675","     468062","         36.21"
"TATASTEEL","EQ","16-Nov-2018","        589.35","        590.00","        591.00","        569.55","        574.60","        574.10","        578.47","    7456927","          4313576069.00","     112947","    2332464","         31.28"
"TATASTEEL","E1","19-Nov-2018","        119.95","        122.60","        128.30","        120.50","        125.70","        126.10","        125.26","     623653","            78117503.55","       4739","     149766","         24.01"
"TATASTEEL","EQ","19-Nov-2018","        574.10","        577.45","        583.80","        574.00","        582.30","        582.40","        580.75","    4889287","          2839467135.75","      66145","    1459561","         29.85"
